dataset_id,source_card_as_written,source_card_resolved,validation_strength_verbatim,derived_lineage_tags,uncertainty_retained,extraction_method,same_source_consumers,claims_using_it,caveat_verbatim
ribes2021/radial_ey,ribes2021,ribes2021,"qualitative (slide-grade, unknown n, undocumented zone-EY back-calculation)",qualitative,n (replicate count not provided; possibly n=1),card transcription (zone EYs read from slide bar charts; radii from chart axes),,,"contact screen ABOVE the puck (inlet-side), 19 g in a 20 g basket; light-polish tamp confound in the no-screen arm; Pullman/no-screen area-weight slack (22.3 vs stated 21); vendor-adjacent (BPLUS under test)"
romancorrochano2015/table2,romancorrochano2015,romancorrochano2015,reference (measured tamped K); the source's K-C equations are poor blind predictors (per-grind n fit) so this is not a K-C validation,mixed_strength | raw_measurement | reference_only,y (SD of triplicate beds; Tukey groups alpha=0.05),card transcription (fully printed Table 2 with SDs and ANOVA letters),,,"K-C equations non-predictive (take the table, skip the models); tamped/consolidated regime; d[3,2] per grind and consolidation constants live in the card, not this CSV"
romancorrochano2017/Db_table3_4,romancorrochano2017,,reference (Stokes-Einstein Db),reference_only,n (vhigh is a range),transcription (thesis table),romancorrochano2017.extraction,,caffeine Db nominal (Poling 2008); galactomannan rh from lit/DLS
romancorrochano2017/deff_table4_9,romancorrochano2017,,independent (measured microstructural Deff),independent | mixed_strength | raw_measurement,y (+/-1 SD; decaf rows none),transcription (thesis table),romancorrochano2017.extraction,,grind PsiG not reported; med-MW is the parameter-free bed choice
romancorrochano2017/fig5_11_mpe,romancorrochano2017,,post-fit reconstruction (digitized MPE),digitized | post_fit,n,"digitisation (raster, ~+/-0.5 pp)",romancorrochano2017.extraction,,y-axis max 80%; min-MPE class per grind matches thesis text within ~0.2pp
romancorrochano2017/fig5_13_mpe,romancorrochano2017,,post-fit reconstruction (digitized MPE),digitized | post_fit,n,"digitisation (raster, ~+/-0.5 pp)",romancorrochano2017.extraction,,multiple-Deff drops MPE ~50% vs best single; two dialysis/diafiltration weightings
romancorrochano2017/fig7_4_espresso,romancorrochano2017,,"independent (parameter-free bed MPE, digitized ~+/-0.5 pp)",digitized | independent,y (Qave/Tave +/-1 SD),digitisation (MPE) + transcription (conditions),romancorrochano2017.extraction,,15 conditions; MPE_med_MW is the non-fitted headline 8.6-14.3%; low/high-MW columns worse (wrong class)
romancorrochano2017/hindrance_table4_8,romancorrochano2017,,independent (measured Hm/tau/eps),independent | mixed_strength | raw_measurement,partial (hg_single rows lack SD),transcription (thesis tables),romancorrochano2017.extraction,,keyed by blend not the PsiB..H grind ladder; Hm~=tau/eps_total consistency holds
romancorrochano2017/mpe_table5_3,romancorrochano2017,,"post-fit reconstruction (Deff fitted, MPE)",post_fit,n,transcription (thesis table),romancorrochano2017.extraction,,keyed by grind; all-grinds-joint vs per-grind single Deff -- NOT the 1-vs-4-Deff comparison (that is Figs 5.11/5.13)
romancorrochano2017/partition_K_table4_10,romancorrochano2017,,"post-fit (Arrhenius lnK=-657/T+1.4, 3 points)",post_fit,n (fit R^2=0.91),transcription (thesis table),romancorrochano2017.extraction,,swelling factor S=1 (none observed)
romancorrochano2017/tamped_kappa,romancorrochano2017,,"independent (measured Darcy permeability, tamped beds)",independent | mixed_strength | raw_measurement,y (+/-1 SD; ANOVA/Tukey sig letters),transcription (thesis table),romancorrochano2017.extraction,,4 grinds x 3 densities; PsiE non-monotone in density (thesis notes kappa noisy at coarsest); NOT a K-C validation (K-C closures are poorer than wadsworth2026.inertial)
romancorrochano2017/y0_extractable,romancorrochano2017,,"independent (distinct nested ceiling quantities, K<1) + qualitative (monotone size-exclusion)",independent | mixed_strength | qualitative,partial (PsiA +/-0.4; derived rows none),"transcription (PsiA exact) + digitisation (Fig 4.19 norm, ~+/-0.5 pp)",romancorrochano2017.extraction,,PsiC/PsiD not measured; non-PsiA absolute = Fig 4.19 norm x 31.7; Flakes ~ finest
schmieder2023/cup_masses,schmieder2023,schmieder2023,independent (of fit) / same apparatus,independent | same_campaign,n (RSD in paper),transcription (programmatic xlsx parse),,PV-04,"per-rep mass + concentration at BR 1/1,1/2,1/3; mean RSD 2.5% (max 8.5%)"
schmieder2023/kinetics_fit_params_avg,schmieder2023,schmieder2023,post-fit reconstruction,post_fit,y (SE),transcription (programmatic XML parse),,,authoritative averaged fits; Exp7 caffeine c0=9.70981 lambda=23.09434 == card
schmieder2023/kinetics_fit_params_reps,schmieder2023,schmieder2023,post-fit reconstruction,post_fit,y (SE),transcription (programmatic xlsx parse),,,15 exp x 3 reps (Exp7 center point x6)
schmieder2023/raw_fractions,schmieder2023,schmieder2023,independent measurement,independent,n,transcription (programmatic xlsx parse),,,"no TDS column (TDS gravimetric); fractions 1,2,3,5,7,10 per card; earliest brew misfits exponential"
schmieder2023/rsm_coefficients,schmieder2023,schmieder2023,qualitative,qualitative,n (adj R2 reported),transcription (programmatic XML parse),,PV-04,adj R2 0.41-0.75 (caffeine worst); authors restrict to qualitative trends; eliminated terms = 0
schulman2011/basket_geometry,schulman2011,schulman2011,"reference (measured geometry; NO dP measured -> resistance is a construction, not measured)",mixed_strength | raw_measurement | reference_only,n,transcription (card table),,,"14 baskets; A_h face-side (tapered holes, unknown bias); hole count derived; plate thickness assumed"
smrke2024/figures,smrke2024,smrke2024,qualitative (figure-digitized; the paper's own regressions are figure-only with no published R^2/RMSE),digitized | qualitative,partial (per-marker overlap-split flags + notes; no published error statistics),figure digitization (axis-tick calibration + colour-masked marker centroids with overlap-split flags); SI Fig S1 from MOESM1,,,no published coefficients/error stats so no reproduction gate is possible; the fines-mechanism claim is an absence-of-effect argument at n=3/condition; sensory is single Q-grader (not double-blind); PTR-MS IDs tentative; marker-overlap uncertainty on some Fig 3 clusters
sobolik2002/rheology,sobolik2002,sobolik2002,reference (measured/fitted extract rheology; espresso application is extrapolation - soluble-coffee extract is not espresso liquor),mixed_strength | raw_measurement | reference_only,y (evidence_strength labels + digitization residuals + Table 2 confidence intervals),"exact transcription (Tables 1-2), equation evaluation (computed lines), and figure digitization (Figs 1,2,3,6; each digitized file carries an evidence_strength column)",,,"soluble-coffee (freeze-dried) extract, NOT espresso liquor; omega = dry-coffee mass fraction; Fig 5 deliberately not scatter-digitized (carried by Table 1); Table 1 endpoint anomaly + thixotropy flags in the dir README; Weisser 1972 data available via Fig 3 only"
vacaguerra2023a/dry_porosity_validation,vacaguerra2023a,vacaguerra2023a,"verification (recomputes the authors' cross-device validation; R^2=0.942, n=50)",verification,n,figure digitization (2022-09-27 preprint; Tim drop 2026-07-25),,,"two independent vessels (60 mm stainless portafilter + 50 mm acrylic square); same lab, single coffee"
vacaguerra2023a/extraction_conditions,vacaguerra2023a,vacaguerra2023a,verification (reproduces the authors' own Darcy K to order of magnitude; 7/9 in the stated band; single dark-roast arabica; steady 10s->end window),verification,y (per-point sd on DeltaP/Q/delta_L),table transcription (2022-09-27 preprint; Tim drop 2026-07-25),,,mu=3.5 mPa s convention inflates K ~3-7x vs G10 -- renormalize before cross-source comparison; the two loosest 17.5 g beds (B/C) sit ~1.3-1.7x above the stated 1.8e-14..3.6e-13 band (pump curve unpublished); Eq-11 permeability is POST-FIT (lambda=7.5 on these same 9 points)
vacaguerra2023a/omega_coefficients,vacaguerra2023a,vacaguerra2023a,verification (sign-convention resolved; -x3*beta),verification,n,table transcription (2022-09-27 preprint),,,same -x3*beta sign correction as phi; material-scoped
vacaguerra2023a/phi_coefficients,vacaguerra2023a,vacaguerra2023a,verification (sign-convention resolved against Fig-9/physical porosity; analysis.vacaguerra2023a.resolve_compression_sign),verification,n,table transcription (2022-09-27 preprint),,,PRINTED k3 is POSITIVE but the +k3*beta form is unphysical (omega ~0.48-0.62); registry adopts -k3*beta -- material-scoped (dark-roast arabica)
vacaguerra2023a/psd,vacaguerra2023a,vacaguerra2023a,reference (measured PSD descriptors; single material),mixed_strength | raw_measurement | reference_only,n,table transcription (2022-09-27 preprint),,,"3 distributions A/B/C; beta is the paper's central variable (widest C packs densest); needs a Rosin-Rammler (alpha,beta)<->GrindState adapter (no home in the contract)"
visualizer/hydraulic_timeseries,visualizer_coffee,visualizer_coffee,"measured (machine-logged) BUT uncontrolled/self-selected; reference-strength population data, NOT a controlled dataset",mixed_strength | raw_measurement | reference_only,n,repository/API pull (harvester),,,"selection bias (public self-selected shots; showcase+diagnostic skew); no PSD, no basket geometry, no independent EY groundtruth; commanded (*_goal) vs achieved differ; node identity of 'pressure' per §5.9. flow_weight is the trustworthier channel (espresso_flow may be volumetric); privacy: user id salted-hashed, free-text dropped on ingest."
visualizer/user_outcomes,visualizer_coffee,visualizer_coffee,"user-entered, uncalibrated across users; unknown refractometer / sampling protocol",unclassified,n,repository/API pull (harvester),,,"sparse, self-reported; sensory sliders not inter-rater calibrated; do NOT use as an extraction-outcome gate (contrast the controlled Schmieder/Angeloni/Egidi sets)."
wadsworth2026/table1_full,wadsworth2026_grindmap / wadsworth2026 (one paper),wadsworth2026_grindmap,independent measurement (reproduction gate),independent,y (k_err; S from moments),transcription (Tim drop),wadsworth2026.grindmap | wadsworth2026.inertial | wadsworth2026.permeability,,"CARD DISCREPANCY: OLS refit <R>~G gives beta=5.805e-5/R0=1.380e-4 (R2=0.994), NOT card's 4.3505e-5/1.016e-4 (~1.33x). Moments self-consistent (S=<R><R2>/<R3>). Operative map uses refit; card beta/R0 flagged for reconciliation. Raw 22-PSD zip still pending (0.6)."
wadsworth2026_table1,wadsworth2026_grindmap / wadsworth2026 (permeability),wadsworth2026_grindmap,independent measurement,independent,y (err_m2 column),transcription (pre-existing file),wadsworth2026.grindmap | wadsworth2026.inertial | wadsworth2026.permeability,,ERRATUM (S5.7): S6 swelling example prints 8.1e17 m^2 = typo for 8.1e-17 m^2. NOTE: grindmap card cites same DOI as the permeability paper - treat as one paper unless card corrected (flagged to user).
waszkiewicz2025/brewer_quadratic,waszkiewicz2025,waszkiewicz2025,independent within-rig,independent | same_campaign,y,repository pull,waszkiewicz2025.poroelastic,,single rig; DP=aQ^2+bQ+c
waszkiewicz2025/constants,waszkiewicz2025,waszkiewicz2025,qualitative (nominal inputs),qualitative,n,repository pull,waszkiewicz2025.poroelastic,PV-05,mu = pure-water @ 90C (G10 concentration-dependence not modeled); h0 and r_basket 'approximate' per source
waszkiewicz2025/equilibrium_windows,waszkiewicz2025,waszkiewicz2025,reference (measured per-shot long-run statistics),mixed_strength | raw_measurement | reference_only,n (per-shot values; spread computed from them),"repository pull (Zenodo source zip) + per-window means; reduction re-implemented from the deposit's documented method (its script is GPLv3, not ingested)",waszkiewicz2025.poroelastic,,"57 shots x 3 windows. The 110-120 s window is NOT usable as published: shot 9-1 has ENDED inside it (falling cup mass -> negative flow derivative -> -106 bar via the brewer subtraction), and alone drags the static refit to P_c ~ 82 bar. Excluding it is an exclusion the SOURCE did not make (9-1 is not in their excluded/ set). The repository's equilibrium observable is the 100 s endpoint, which reproduces the published static fit (P_c 12.394 vs 12.39; Q_c 1.907 vs 1.897)."
waszkiewicz2025/mastersizer_psd,waszkiewicz2025,waszkiewicz2025,independent measurement,independent,n (3 replicates),repository pull,waszkiewicz2025.poroelastic,,"semicolon-delimited, UTF-8 BOM, transposed (bins as columns); bimodal ~50/100-200 um"
waszkiewicz2025/static_calibration,waszkiewicz2025,waszkiewicz2025,independent within-rig,independent | same_campaign,y (std),repository pull,waszkiewicz2025.poroelastic,,"P_c=12.4+/-3.0 bar weakly constrained (edge of measured range, ~25% unc)"
waszkiewicz2025/tds_fractions,waszkiewicz2025,waszkiewicz2025,independent within-rig,independent | same_campaign,y,repository pull,waszkiewicz2025.poroelastic,PV-01,5-s interval fractions; first fraction (2.5 s) single replicate
waszkiewicz2025/tds_solids_calibration,waszkiewicz2025,waszkiewicz2025,post-fit reconstruction,post_fit,y (std),repository pull,waszkiewicz2025.poroelastic,,first_drop_offset 8.0 s; Phi(t) attributes all porosity change to dissolution (CT shows swelling too - untested)
waszkiewicz2025/traces_per_brew,waszkiewicz2025,waszkiewicz2025,"reference (measured per-shot traces; the reduction reproduces the published per-pressure means to 5e-7, within the published file's own 1e-6 write precision)",mixed_strength | raw_measurement | reference_only | verification,"n (these ARE the individual shots; spread is computed from them, not carried)",repository pull (Zenodo source zip) + reduction re-implemented from the deposit's documented method; the deposit's own script is GPLv3 and is NOT ingested,waszkiewicz2025.poroelastic,,"57 records over 11 reference pressures (9 bar has 5) but 56 DISTINCT brews: 12-8-6_alt is an exact duplicate of 12-8-6 (its raw file is a strict prefix of the alt), declared in puckworks.data.WASZ_TRACE_ALIASES and retained here because the source aggregates both; shot-as-unit analyses pass include_aliases=False. 13 bar therefore has 7 records / 6 brews. Filename prefixes are NOT the reference pressure (10-2 is 11 bar, 12-8-2 is 13 bar) -- pressure is the median line pressure per the source's definition. The source's reduction is BAKED IN: t=0 alignment, Savitzky-Golay flow derivative (window 31, polyorder 1, ~3 s) and brewer-calibration basket-pressure subtraction, so these are smoothed and alignment-dependent, not raw instrument output. The source's excluded/ brews are NOT included. Time stored as an index on the exact 0-100 s 1000-point grid. NOTE the published aggregate's *_std columns are standard ERRORS (sem), so shot spread is recoverable only from this file."
waszkiewicz2025/traces_time_dependent,waszkiewicz2025,waszkiewicz2025,independent within-rig (equilibrium) / post-fit (9-bar Q(t) reproduction),independent | mixed_strength | post_fit | same_campaign,y,repository pull,waszkiewicz2025.poroelastic,PV-02 | PV-05,"soft circularity: m_d(t) from TDS x Q on same rig; 11-13 bar dip below monotone model; basket vs line pressure both present (node id per RC-3/S5.9) | S5.9 nodes: basket_pressure__bar = P_basket (basket gauge), pressure__bar = line/pump-side."
